"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04.08.2020","101.053,24","102.825,55","103.011,50","100.004,50","7,66M","-1,73%"
"03.08.2020","102.829,96","102.912,87","103.863,33","102.304,26","10,90M","-0,08%"
"31.07.2020","102.912,24","105.009,99","105.462,13","102.642,04","12,93M","-2,00%"
"30.07.2020","105.008,70","105.605,17","105.606,79","103.919,94","9,59M","-0,56%"
"29.07.2020","105.605,17","104.111,75","105.703,62","104.111,75","9,24M","1,44%"
"28.07.2020","104.109,07","104.477,08","104.662,83","103.591,80","9,09M","-0,35%"
"27.07.2020","104.477,08","102.380,85","104.584,52","102.380,55","9,62M","2,05%"
"24.07.2020","102.381,58","102.291,82","102.693,74","100.858,76","9,80M","0,09%"
"23.07.2020","102.293,31","104.291,24","104.949,40","102.118,54","10,37M","-1,91%"
"22.07.2020","104.289,57","104.311,59","104.979,95","103.277,01","10,83M","-0,02%"
"21.07.2020","104.309,74","104.426,49","105.449,23","103.732,33","11,11M","-0,11%"
"20.07.2020","104.426,37","102.887,60","104.438,58","102.744,25","8,93M","1,49%"
"17.07.2020","102.888,25","100.554,09","103.016,60","100.554,09","10,43M","2,32%"
"16.07.2020","100.553,27","101.791,01","101.792,33","100.160,18","8,13M","-1,22%"
"15.07.2020","101.790,54","100.444,28","102.113,51","100.444,28","9,29M","1,34%"
"14.07.2020","100.440,23","98.698,88","100.632,06","98.288,81","10,02M","1,77%"
"13.07.2020","98.697,06","100.027,40","100.857,68","98.697,06","10,38M","-1,33%"
"10.07.2020","100.031,83","99.160,17","100.100,98","98.738,66","9,15M","0,88%"
"09.07.2020","99.160,33","99.770,32","100.191,24","98.860,83","9,47M","-0,61%"
"08.07.2020","99.769,88","97.764,95","99.972,78","97.764,95","9,14M","2,05%"
"07.07.2020","97.761,04","98.937,40","98.938,00","97.272,02","8,95M","-1,19%"
"06.07.2020","98.937,16","96.775,74","99.256,85","96.767,64","9,49M","2,24%"
"03.07.2020","96.764,85","96.236,97","96.764,87","95.803,32","5,35M","0,55%"
"02.07.2020","96.234,96","96.205,58","97.864,16","96.051,85","10,06M","0,03%"
"01.07.2020","96.203,20","95.061,62","96.851,75","95.061,62","10,16M","1,21%"
"30.06.2020","95.055,82","95.727,60","96.257,30","94.806,47","10,14M","-0,71%"
"29.06.2020","95.735,35","93.836,94","95.735,35","93.825,27","8,91M","2,03%"
"26.06.2020","93.834,49","95.979,03","95.979,03","93.513,70","8,44M","-2,24%"
"25.06.2020","95.983,09","94.382,05","96.259,70","94.151,83","8,70M","1,70%"
"24.06.2020","94.377,36","95.973,81","95.973,81","93.259,07","9,96M","-1,66%"
"23.06.2020","95.975,16","95.343,52","97.485,59","95.343,52","9,75M","0,67%"
"22.06.2020","95.335,96","96.572,24","96.870,44","94.868,81","8,26M","-1,28%"
"19.06.2020","96.572,10","96.137,89","97.540,33","95.874,30","13,13M","0,46%"
"18.06.2020","96.125,24","95.547,20","97.109,54","94.697,53","10,01M","0,60%"
"17.06.2020","95.547,29","93.531,17","96.611,40","93.531,17","11,13M","2,16%"
"16.06.2020","93.531,17","92.386,66","95.215,56","92.386,66","12,03M","1,25%"
"15.06.2020","92.375,52","92.780,35","93.111,62","90.147,92","13,32M","-0,45%"
"12.06.2020","92.795,27","94.677,14","94.703,26","90.810,98","12,79M","-2,00%"
"10.06.2020","94.685,98","96.747,32","97.645,85","94.664,81","11,74M","-2,13%"
"09.06.2020","96.746,55","97.644,34","97.644,34","95.385,81","11,29M","-0,92%"
"08.06.2020","97.644,67","94.640,43","97.693,47","94.635,19","11,10M","3,18%"
"05.06.2020","94.637,06","93.839,16","97.355,75","93.838,60","13,32M","0,86%"
"04.06.2020","93.828,61","92.992,63","94.132,30","92.220,80","11,49M","0,89%"
"03.06.2020","93.002,14","91.048,10","93.710,05","91.048,10","15,14M","2,15%"
"02.06.2020","91.046,38","88.622,49","91.046,49","88.622,49","11,83M","2,74%"
"01.06.2020","88.620,10","87.395,15","89.019,37","86.836,57","9,85M","1,39%"
"29.05.2020","87.402,59","86.951,32","87.410,03","85.384,29","16,55M","0,52%"
"28.05.2020","86.949,09","87.946,10","88.090,67","86.766,92","10,12M","-1,13%"
"27.05.2020","87.946,25","85.467,50","87.946,25","85.467,50","11,21M","2,90%"
"26.05.2020","85.468,91","85.667,50","87.332,53","85.395,71","12,03M","-0,23%"
"25.05.2020","85.663,48","82.197,76","85.875,60","82.193,33","8,76M","4,25%"
"22.05.2020","82.173,21","83.027,09","83.027,09","81.668,80","9,28M","-1,03%"
"21.05.2020","83.027,09","81.319,73","83.308,96","81.317,11","11,40M","2,10%"
"20.05.2020","81.319,45","80.746,81","82.290,49","80.739,61","9,52M","0,71%"
"19.05.2020","80.742,35","81.196,69","82.174,55","80.647,02","10,74M","-0,56%"
"18.05.2020","81.194,29","77.575,71","81.420,37","77.571,39","11,53M","4,69%"
"15.05.2020","77.556,62","79.010,59","79.538,23","77.426,10","11,72M","-1,84%"
